Zip Code,Year,Total population,Male,Female,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Median age (years)
95412,2019,397.0,54.2,45.8,0.5,4.5,5.3,7.1,0.8,10.1,11.3,10.3,8.1,5.8,24.4,11.3,0.5,
95412,2020,485.0,47.6,52.4,1.6,10.3,10.9,5.4,0.0,5.8,17.3,7.0,2.7,5.8,16.1,16.7,0.4,
95412,2021,341.0,44.0,56.0,0.0,10.0,8.8,5.0,0.0,0.0,18.8,11.4,2.1,7.6,12.6,23.8,0.0,
95412,2022,271.0,39.5,60.5,0.0,12.5,7.0,5.9,0.0,13.7,11.1,7.0,3.0,1.1,19.6,19.2,0.0,
95419,2021,213.0,81.2,18.8,0.0,0.0,0.0,8.0,0.0,0.0,0.0,15.5,5.6,29.6,29.6,11.7,0.0,
95419,2022,169.0,93.5,6.5,0.0,0.0,0.0,8.3,0.0,0.0,10.7,17.2,6.5,29.0,15.4,13.0,0.0,
95421,2017,1739.0,48.6,51.4,4.2,3.3,3.4,3.4,3.7,7.0,10.0,12.9,14.8,8.6,18.5,8.2,2.0,
95421,2018,1681.0,49.7,50.3,2.8,1.9,3.7,2.8,4.7,4.8,9.9,13.7,15.7,8.5,22.5,7.7,1.2,0.0
95421,2019,1808.0,50.8,49.2,4.8,2.0,4.2,2.7,4.0,5.8,11.6,12.7,12.1,8.4,23.2,7.2,1.3,
95421,2020,1662.0,49.5,50.5,4.0,2.9,4.2,2.2,4.6,3.8,12.5,14.1,10.8,8.9,21.6,9.0,1.4,
95421,2021,1743.0,51.3,48.7,5.2,1.4,3.2,1.9,6.4,8.1,9.7,11.8,11.4,9.1,21.3,9.1,1.4,
95421,2022,1679.0,51.1,48.9,6.0,2.1,3.1,2.3,3.4,10.4,9.9,14.0,9.7,8.1,21.4,7.9,1.7,
95422,2017,15360.0,51.4,48.6,6.7,7.6,6.1,7.0,5.6,12.5,10.0,13.4,8.8,5.5,11.4,4.1,1.1,
95422,2018,15550.0,49.9,50.1,6.3,8.4,7.0,5.9,4.7,14.0,9.9,13.7,7.9,5.5,11.2,3.9,1.5,0.0
95422,2019,15696.0,48.7,51.3,7.1,8.0,7.4,5.9,4.9,13.4,10.2,13.1,6.9,5.4,12.3,4.2,1.3,
95422,2020,15644.0,49.0,51.0,5.1,9.6,7.3,6.6,3.6,13.1,11.3,13.5,6.3,5.5,11.9,4.8,1.6,
95422,2021,16759.0,49.1,50.9,5.3,9.3,7.0,6.9,3.4,12.9,11.3,13.1,6.2,6.2,12.1,4.5,1.9,
95422,2022,16998.0,49.3,50.7,5.1,8.0,7.9,7.0,3.6,13.8,12.1,12.4,5.6,6.8,11.4,4.6,1.9,
95423,2017,3818.0,56.2,43.8,4.9,3.7,2.6,3.2,5.0,5.2,9.4,16.0,12.2,12.5,18.2,5.3,1.8,
95423,2018,3757.0,54.7,45.3,7.5,3.5,1.0,1.9,6.1,5.7,8.4,15.3,10.3,12.7,19.4,7.4,0.7,0.0
95423,2019,3751.0,54.0,46.0,7.6,4.2,2.1,2.8,5.5,6.2,6.7,17.2,12.0,11.0,18.4,6.1,0.2,
95423,2020,3597.0,51.5,48.5,6.4,4.2,1.8,3.9,2.6,8.7,6.4,18.1,11.7,7.5,19.3,6.5,2.8,
95423,2021,3244.0,50.3,49.7,5.7,2.8,2.2,4.3,4.8,8.0,8.2,13.4,7.6,11.5,19.6,8.1,3.9,
95423,2022,3322.0,49.1,50.9,3.7,4.5,3.4,6.1,4.6,4.7,9.2,11.6,8.1,9.4,21.2,9.9,3.6,
95425,2017,10571.0,46.7,53.3,5.7,5.7,7.4,6.8,5.2,9.7,13.7,12.4,6.3,7.5,11.3,6.1,2.2,
95425,2018,10586.0,47.6,52.4,5.3,6.8,7.1,4.2,5.2,10.8,13.2,11.2,5.9,9.7,12.4,5.9,2.3,0.0
95425,2019,10984.0,46.5,53.5,6.7,6.8,7.2,3.8,3.8,12.0,13.1,10.4,6.1,9.7,13.1,5.6,1.7,
95425,2020,11144.0,47.9,52.1,4.8,6.5,6.0,5.5,3.6,10.1,12.2,14.8,5.9,9.5,14.3,5.0,1.7,
95425,2021,11337.0,49.9,50.1,2.8,6.7,6.5,6.1,3.8,8.7,13.8,14.5,6.6,9.4,14.9,4.6,1.7,
95425,2022,11331.0,50.0,50.0,2.8,7.6,5.5,6.3,3.8,10.4,15.6,12.0,6.0,7.9,15.5,4.6,2.0,
95426,2017,1531.0,56.4,43.6,0.0,3.5,9.2,5.6,0.7,4.4,15.5,23.3,9.3,6.1,15.2,7.3,0.0,
95426,2018,1404.0,60.1,39.9,0.0,3.8,5.7,4.1,1.0,5.2,16.5,20.4,8.0,8.4,16.3,8.5,2.1,0.0
95426,2019,1350.0,58.4,41.6,0.0,4.2,1.9,4.2,1.3,5.4,16.0,20.9,8.7,11.9,17.0,6.0,2.5,
95426,2020,1124.0,58.9,41.1,0.0,4.8,3.2,7.8,0.2,3.1,20.5,23.3,2.4,10.7,17.7,3.8,2.5,
95426,2021,1362.0,59.0,41.0,2.0,5.2,1.6,7.0,0.1,2.3,15.6,18.8,9.3,14.0,17.4,4.7,1.9,
95426,2022,1178.0,60.5,39.5,3.0,7.6,4.1,5.2,0.1,1.3,16.4,10.2,12.6,12.4,19.6,5.2,2.4,
95430,2017,6.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,
95430,2018,7.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
95430,2019,7.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,
95430,2020,13.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,
95430,2021,15.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,
95430,2022,0.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,
95436,2017,6227.0,51.7,48.3,3.5,3.8,4.3,4.5,3.5,8.7,11.7,17.2,10.2,11.8,14.3,5.0,1.7,
95436,2018,6352.0,51.0,49.0,3.3,3.7,3.6,4.8,3.7,9.6,12.4,15.3,9.7,11.8,15.0,6.1,1.0,0.0
95436,2019,6240.0,51.4,48.6,2.3,3.6,4.9,6.7,2.3,10.7,13.0,13.2,8.9,11.9,14.9,6.5,1.0,
95436,2020,6602.0,52.6,47.4,5.0,7.3,4.8,5.5,1.3,11.1,18.2,11.1,6.5,10.6,12.8,5.1,0.7,
95436,2021,6602.0,52.9,47.1,5.6,7.0,4.5,5.8,1.8,11.5,17.6,10.6,6.3,9.9,13.2,5.4,0.8,
95436,2022,6008.0,51.7,48.3,6.2,6.4,4.2,6.0,2.2,12.5,17.5,8.8,6.6,9.8,13.1,5.9,0.7,
95439,2017,725.0,62.1,37.9,5.7,13.9,1.1,3.9,3.2,20.6,7.7,13.9,3.0,6.8,10.9,4.4,5.0,
95439,2018,774.0,61.0,39.0,0.9,15.9,12.4,3.6,3.2,10.2,17.8,8.5,3.0,1.8,13.8,3.6,5.2,0.0
95439,2019,728.0,57.1,42.9,0.0,14.8,12.1,2.9,2.7,3.2,17.2,7.1,10.4,2.1,9.1,14.0,4.4,
95439,2020,444.0,58.3,41.7,7.2,11.7,15.5,0.0,4.1,0.0,24.8,5.2,5.6,0.0,12.2,13.7,0.0,
95439,2021,510.0,58.0,42.0,6.1,6.5,12.9,0.0,0.0,0.0,19.4,0.0,22.2,1.6,12.5,18.8,0.0,
95439,2022,782.0,50.0,50.0,3.8,6.8,11.5,0.0,0.0,0.0,24.3,2.6,18.3,0.0,16.0,16.8,0.0,
95441,2017,1889.0,59.2,40.8,4.1,5.7,3.8,3.4,6.8,15.2,13.2,11.6,11.6,7.9,8.5,5.0,3.1,
95441,2018,2053.0,57.6,42.4,5.7,6.1,3.4,4.9,8.1,15.0,10.8,11.4,9.7,7.9,9.6,4.9,2.4,0.0
95441,2019,1797.0,55.5,44.5,6.3,4.9,2.4,5.0,7.1,14.5,11.7,9.7,9.3,9.3,11.5,5.5,2.7,
95441,2020,1696.0,54.1,45.9,4.8,5.1,3.7,5.4,3.5,10.0,12.5,11.3,8.8,10.3,16.7,6.1,1.8,
95441,2021,1802.0,54.7,45.3,3.8,6.2,3.9,4.6,4.1,9.6,11.2,10.5,6.2,11.2,20.5,7.0,1.4,
95441,2022,1819.0,56.0,44.0,4.2,3.6,4.2,4.2,4.7,9.0,10.4,11.3,8.9,9.7,21.3,7.0,1.3,
95442,2017,3366.0,49.0,51.0,3.8,6.2,4.1,4.8,5.3,8.7,12.7,13.9,6.6,10.3,15.4,6.2,1.8,
95442,2018,3136.0,51.6,48.4,3.2,5.1,6.2,3.8,4.7,8.5,10.1,16.1,7.1,11.7,17.5,4.4,1.5,0.0
95442,2019,3213.0,47.5,52.5,4.6,5.6,6.1,3.8,5.5,7.4,12.9,17.3,4.4,9.0,15.0,3.1,5.5,
95442,2020,3143.0,52.0,48.0,6.5,3.8,3.2,1.8,3.7,5.0,9.6,15.7,21.5,8.4,15.3,3.1,2.4,
95442,2021,2521.0,52.6,47.4,0.7,2.9,3.3,3.1,3.7,5.1,5.0,18.5,25.6,12.9,12.5,3.6,3.0,
95442,2022,2592.0,53.2,46.8,1.4,2.2,4.6,1.4,0.9,4.7,6.9,18.4,24.2,15.9,13.9,3.2,2.3,
95444,2017,769.0,39.5,60.5,7.4,4.0,1.6,3.4,0.0,19.6,7.0,29.9,6.2,11.8,9.0,0.0,0.0,
95444,2018,715.0,31.0,69.0,8.1,10.6,2.2,5.0,0.0,18.9,6.6,24.9,6.9,4.2,12.6,0.0,0.0,0.0
95444,2019,705.0,37.2,62.8,6.2,5.0,0.0,2.7,3.8,27.1,4.8,26.2,5.4,6.2,12.5,0.0,0.0,
95444,2020,357.0,26.3,73.7,3.4,4.2,0.0,0.6,0.6,11.2,6.7,37.3,4.5,0.6,31.1,0.0,0.0,
95444,2021,559.0,25.2,74.8,3.8,9.8,2.5,2.0,2.3,2.5,5.0,29.2,2.1,12.3,28.4,0.0,0.0,
95444,2022,516.0,33.7,66.3,1.7,3.7,2.3,4.5,4.8,4.3,0.0,16.9,17.8,18.8,24.0,1.2,0.0,
95445,2017,1930.0,47.4,52.6,3.7,3.7,3.3,1.6,1.9,5.0,10.4,6.6,9.9,15.9,27.5,7.7,2.8,
95445,2018,2201.0,44.9,55.1,3.5,3.7,3.2,3.6,1.5,3.2,12.5,4.2,12.9,13.4,27.2,8.3,2.7,0.0
95445,2019,2257.0,45.3,54.7,3.4,3.9,3.2,3.5,1.2,4.2,12.4,3.2,10.5,12.4,30.3,9.3,2.4,
95445,2020,1989.0,44.7,55.3,2.7,3.5,2.9,3.3,1.4,5.5,11.6,0.2,13.9,11.9,32.9,9.7,0.7,
95445,2021,2134.0,46.9,53.1,2.8,4.3,4.4,7.5,0.0,7.9,12.7,2.0,13.2,8.7,26.6,9.6,0.5,
95445,2022,2012.0,48.7,51.3,1.1,4.1,5.9,6.7,0.0,7.9,9.7,5.7,14.0,9.3,25.6,9.8,0.1,
95446,2017,4728.0,54.0,46.0,2.6,1.9,3.7,3.0,4.9,13.8,10.4,18.5,7.5,11.7,15.3,4.6,2.1,
95446,2018,5100.0,51.4,48.6,1.8,2.6,5.0,4.3,3.4,12.7,12.7,16.3,7.1,9.4,16.2,5.7,2.6,0.0
95446,2019,5168.0,51.7,48.3,2.1,2.6,4.5,3.3,2.1,10.7,11.7,19.2,8.5,9.5,16.0,7.6,2.1,
95446,2020,4951.0,51.9,48.1,1.5,1.9,4.7,3.4,1.4,12.1,11.8,17.3,7.1,10.0,19.3,7.1,2.5,
95446,2021,4781.0,56.7,43.3,1.2,2.5,3.2,3.7,2.2,14.9,10.7,16.1,8.6,8.6,20.7,5.9,1.7,
95446,2022,4709.0,56.4,43.6,1.0,1.8,4.0,3.9,3.0,13.8,9.4,13.5,10.1,9.6,22.7,5.5,1.5,
95448,2017,17666.0,49.7,50.3,3.9,4.5,5.1,5.0,6.3,11.1,10.4,13.5,7.7,9.6,14.6,5.6,2.6,
95448,2018,17482.0,48.8,51.2,3.7,4.4,5.6,4.9,5.1,11.1,9.0,14.4,7.3,10.2,15.3,6.8,2.4,0.0
95448,2019,17407.0,49.7,50.3,4.2,3.4,4.5,5.5,4.5,10.4,10.9,14.2,8.4,9.4,16.2,6.5,2.0,
95448,2020,17353.0,48.5,51.5,5.8,4.2,4.6,3.6,4.2,11.1,13.4,12.6,6.8,7.9,17.4,6.1,2.3,
95448,2021,16596.0,48.5,51.5,5.4,3.9,4.5,4.2,3.9,10.2,13.8,11.8,6.0,8.9,18.2,6.9,2.3,
95448,2022,16745.0,48.3,51.7,4.9,3.3,4.1,5.5,4.2,11.2,12.2,12.4,6.4,8.5,17.9,7.4,2.0,
95449,2017,1794.0,54.6,45.4,8.1,9.4,5.4,3.4,8.2,15.0,7.0,12.2,10.1,9.2,6.7,4.6,0.7,
95449,2018,1656.0,55.3,44.7,8.4,11.5,4.6,2.8,6.5,19.4,6.2,10.9,10.1,7.7,8.2,3.0,0.7,0.0
95449,2019,1560.0,53.7,46.3,7.4,8.7,3.0,2.5,5.1,20.0,7.1,8.3,13.7,10.9,10.8,2.3,0.2,
95449,2020,1393.0,53.3,46.7,5.0,5.6,3.9,2.4,3.9,17.0,11.3,9.5,11.3,13.7,14.0,1.8,0.6,
95449,2021,1460.0,55.5,44.5,3.4,5.5,4.5,2.9,1.7,17.3,14.9,7.5,9.5,14.6,15.3,2.3,0.5,
95449,2022,1785.0,58.3,41.7,7.1,3.8,6.3,1.7,5.4,16.6,17.9,6.4,7.1,10.5,14.2,2.5,0.4,
95450,2017,285.0,59.3,40.7,1.4,0.4,0.0,0.7,3.2,8.8,8.8,19.3,9.5,18.2,22.5,4.9,2.5,
95450,2018,298.0,56.0,44.0,2.3,5.0,2.0,1.0,4.0,9.1,13.4,21.1,12.1,9.7,12.4,6.0,1.7,0.0
95450,2019,227.0,49.8,50.2,0.0,5.7,2.6,1.3,3.5,13.2,13.2,10.1,15.4,8.4,16.3,7.0,3.1,
95450,2020,223.0,46.2,53.8,0.0,5.4,2.7,1.3,7.2,8.5,13.5,10.8,6.3,14.3,13.9,13.5,2.7,
95450,2021,212.0,54.2,45.8,0.0,6.6,3.3,1.9,9.9,10.4,11.3,11.3,2.8,17.9,13.2,10.4,0.9,
95450,2022,272.0,47.8,52.2,0.0,7.0,5.5,4.0,1.5,2.6,11.8,15.8,6.6,11.0,16.9,10.7,6.6,
95451,2017,12016.0,46.7,53.3,7.1,5.4,4.4,5.4,3.5,11.0,13.0,12.1,6.9,10.3,13.7,5.7,1.8,
95451,2018,11627.0,46.4,53.6,6.7,5.5,3.6,5.3,4.0,11.2,11.9,11.5,8.3,9.2,14.5,6.5,1.8,0.0
95451,2019,11603.0,48.9,51.1,6.5,5.0,4.5,4.9,5.5,10.6,13.7,9.7,8.6,8.9,14.3,6.2,1.7,
95451,2020,12031.0,48.2,51.8,8.2,5.4,4.2,3.9,6.6,12.0,11.1,8.6,7.9,9.0,14.3,7.6,1.3,
95451,2021,12611.0,49.6,50.4,8.1,7.1,4.5,2.5,5.6,13.7,10.6,8.8,7.6,8.2,13.8,7.9,1.7,
95451,2022,12957.0,49.4,50.6,6.1,5.3,5.3,4.8,6.0,12.7,10.2,10.6,8.1,6.9,14.4,7.7,1.7,
95452,2017,1276.0,40.4,59.6,8.1,5.6,1.7,2.3,4.2,2.4,5.9,9.0,16.2,11.5,14.8,14.5,3.8,
95452,2018,970.0,46.9,53.1,3.0,0.0,1.9,2.5,6.4,7.3,0.0,3.8,18.8,17.6,18.4,18.7,1.8,0.0
95452,2019,919.0,46.6,53.4,6.2,0.0,2.1,2.5,4.1,9.0,0.0,5.0,9.6,14.8,20.1,22.6,3.9,
95452,2020,740.0,41.6,58.4,0.0,0.0,0.0,1.4,0.0,7.8,0.0,8.1,5.0,18.9,32.2,22.0,4.6,
95452,2021,1360.0,43.9,56.1,5.4,2.4,1.8,0.5,0.0,32.4,12.9,5.8,4.6,9.6,14.6,8.5,1.5,
95452,2022,1240.0,47.3,52.7,5.0,3.1,2.0,0.6,0.0,36.2,13.6,8.1,3.4,4.8,14.1,7.3,1.6,
95457,2017,3058.0,50.8,49.2,1.6,4.5,8.6,2.1,4.0,5.5,8.2,20.6,6.2,8.4,20.3,8.0,2.1,
95457,2018,3330.0,50.5,49.5,4.1,5.3,7.1,3.3,4.1,7.9,8.0,15.8,5.7,10.8,19.2,7.2,1.4,0.0
95457,2019,3227.0,48.7,51.3,5.3,5.2,6.4,4.6,2.8,7.1,7.7,8.6,6.0,14.4,20.6,9.8,1.5,
95457,2020,3061.0,48.5,51.5,4.6,4.3,5.4,4.0,3.0,6.5,6.6,7.9,10.5,12.7,23.5,10.5,0.5,
95457,2021,3178.0,47.8,52.2,3.2,3.9,5.0,3.8,3.3,6.9,6.3,8.7,12.2,13.2,22.9,9.8,0.6,
95457,2022,3252.0,42.8,57.2,5.1,5.8,3.8,5.7,2.6,8.8,6.0,9.2,12.7,11.3,18.6,10.0,0.4,
95461,2017,2497.0,50.9,49.1,1.9,4.1,5.4,6.1,6.4,10.7,9.0,14.3,9.4,10.5,12.9,7.6,1.7,
95461,2018,2440.0,49.7,50.3,3.4,4.9,5.7,7.5,6.4,9.5,9.9,9.2,7.4,12.5,14.0,6.4,3.4,0.0
95461,2019,2567.0,46.9,53.1,0.0,7.6,5.9,6.0,0.5,14.3,11.3,12.8,4.6,12.7,14.9,6.3,3.1,
95461,2020,2714.0,46.8,53.2,0.0,5.0,7.6,1.9,1.0,17.7,4.2,12.0,6.6,15.6,18.5,7.0,2.9,
95461,2021,3551.0,50.6,49.4,4.6,2.8,7.8,5.6,2.6,15.2,6.3,13.6,3.4,13.9,17.1,5.2,1.8,
95461,2022,3909.0,49.5,50.5,5.7,2.4,7.5,5.0,3.2,15.8,6.4,12.9,5.1,12.2,18.2,3.9,1.7,
95462,2017,1151.0,56.8,43.2,0.0,5.9,3.0,1.9,2.3,9.3,9.8,18.4,11.5,9.6,21.2,7.1,0.0,
95462,2018,1265.0,52.7,47.3,0.0,6.4,6.1,1.3,2.9,10.1,8.4,17.5,8.5,9.6,22.0,6.2,0.9,0.0
95462,2019,1124.0,55.2,44.8,0.4,6.2,7.0,1.9,2.2,12.5,7.7,14.9,7.8,10.9,23.6,3.8,1.1,
95462,2020,1224.0,55.8,44.2,1.9,5.8,5.2,2.8,2.5,8.7,6.9,10.1,9.4,12.6,25.9,2.8,5.3,
95462,2021,1111.0,55.2,44.8,0.7,3.7,6.4,4.2,0.9,10.5,4.9,9.2,10.6,17.9,24.1,0.5,6.3,
95462,2022,1091.0,52.4,47.6,0.2,1.5,4.8,6.0,1.6,6.0,8.3,8.7,11.6,18.8,25.5,0.5,6.4,
95465,2017,2041.0,48.5,51.5,1.3,3.9,6.9,3.2,2.5,13.8,12.7,13.1,5.8,12.2,21.0,2.8,0.9,
95465,2018,2104.0,49.5,50.5,1.6,3.8,5.6,1.3,1.3,13.5,11.6,13.6,5.2,13.1,23.5,5.0,0.9,0.0
95465,2019,2244.0,49.1,50.9,2.1,4.5,7.8,1.4,0.0,13.5,12.3,12.0,4.3,12.2,23.7,5.8,0.4,
95465,2020,1908.0,49.1,50.9,0.6,4.4,8.4,1.5,0.3,18.1,5.8,18.0,2.8,9.1,26.5,3.7,0.9,
95465,2021,1316.0,45.2,54.8,1.1,4.4,7.4,1.3,0.3,14.3,8.5,11.1,4.9,6.4,33.4,5.5,1.4,
95465,2022,1251.0,45.5,54.5,2.5,4.7,6.6,2.0,3.4,15.3,7.1,17.5,3.8,5.3,23.2,7.6,1.0,
95467,2017,5735.0,45.6,54.4,3.6,7.6,9.6,3.9,5.8,7.2,13.5,12.8,6.6,9.9,12.1,6.2,1.2,
95467,2018,6044.0,48.7,51.3,4.6,6.8,9.5,4.7,6.6,7.0,13.7,12.4,7.0,9.0,10.8,6.2,1.6,0.0
95467,2019,5506.0,47.9,52.1,3.6,7.7,9.7,5.2,5.2,6.2,13.6,14.9,5.5,10.0,9.9,6.7,1.7,
95467,2020,5909.0,49.9,50.1,3.0,9.5,7.8,4.9,8.1,6.9,13.5,12.0,4.1,9.9,12.1,6.4,1.7,
95467,2021,6109.0,47.8,52.2,2.0,10.0,9.5,5.4,7.0,6.8,13.5,12.6,5.4,6.9,11.1,8.2,1.7,
95467,2022,5795.0,51.5,48.5,3.7,9.0,8.2,4.1,5.7,8.4,11.9,8.9,5.4,6.1,16.4,9.9,2.2,
95471,2017,630.0,55.7,44.3,9.4,12.5,8.6,0.0,8.1,10.8,17.5,3.8,12.7,3.8,12.9,0.0,0.0,
95471,2018,470.0,51.5,48.5,6.2,11.5,5.7,2.6,5.5,6.0,12.1,7.9,16.6,5.7,20.2,0.0,0.0,0.0
95471,2019,573.0,41.4,58.6,12.4,5.2,5.6,8.6,5.6,11.2,5.9,7.3,3.7,6.1,22.5,5.9,0.0,
95471,2020,569.0,43.2,56.8,10.4,5.1,5.1,12.1,4.7,9.3,4.4,5.4,4.9,11.2,21.8,5.4,0.0,
