County,ZIP Code,Year,New,Renewed,Insured-Initiated Nonrenewed,Insurer-Initiated Nonrenewed,Non-Renewed,Active
Sonoma,95476,2020,1272,10739,1071.0,196.0,1267,12011
Sonoma,95486,2020,3,53,1.0,1.0,2,56
Sonoma,95492,2020,826,8149,702.0,122.0,824,8975
Sonoma,95497,2020,171,1114,134.0,24.0,158,1285
Yolo,95606,2020,7,30,4.0,2.0,6,37
Yolo,95607,2020,10,58,13.0,3.0,16,68
Yolo,95616,2020,650,8284,594.0,58.0,652,8934
Solano,95620,2020,750,5008,545.0,67.0,612,5758
Solano,95625,2020,11,46,10.0,1.0,11,57
Yolo,95627,2020,78,869,78.0,16.0,94,947
Yolo,95637,2020,19,72,11.0,6.0,17,91
Yolo,95653,2020,12,103,10.0,2.0,12,115
Yolo,95679,2020,4,12,2.0,1.0,3,16
Solano,95687,2020,2254,16292,1754.0,178.0,1932,18546
Solano,95688,2020,1404,10577,1137.0,169.0,1306,11981
Yolo,95694,2020,322,2149,180.0,52.0,232,2471
Yolo,95695,2020,852,8644,707.0,129.0,836,9496
Yolo,95697,2020,11,65,4.0,2.0,6,76
Yolo,95698,2020,5,47,3.0,0.0,3,52
Colusa,95912,2020,152,959,115.0,25.0,140,1111
Colusa,95932,2020,239,1708,172.0,47.0,219,1947
Yolo,95937,2020,34,259,20.0,3.0,23,293
Colusa,95979,2020,28,235,24.0,3.0,27,263
Colusa,95987,2020,135,1162,97.0,22.0,119,1297
Napa,94503,2021,557,4868,488.0,88.0,576,5425
Napa,94508,2021,86,667,88.0,35.0,123,753
Solano,94510,2021,793,7505,743.0,101.0,844,8298
Solano,94512,2021,4,25,3.0,1.0,4,29
Napa,94515,2021,263,1999,203.0,54.0,257,2262
Solano,94533,2021,2388,16222,1885.0,304.0,2189,18610
Solano,94534,2021,1699,11546,1450.0,252.0,1702,13245
Solano,94535,2021,0,6,1.0,0.0,1,6
Napa,94558,2021,1991,17755,1728.0,337.0,2065,19746
Napa,94559,2021,760,6524,696.0,106.0,802,7284
Napa,94562,2021,2,11,1.0,2.0,3,13
Napa,94567,2021,20,142,15.0,4.0,19,162
Solano,94571,2021,1049,4602,612.0,76.0,688,5651
Napa,94573,2021,2,34,5.0,0.0,5,36
Napa,94574,2021,308,2427,292.0,80.0,372,2735
Napa,94576,2021,6,49,9.0,1.0,10,55
Solano,94585,2021,1002,7488,853.0,143.0,996,8490
Solano,94591,2021,1900,14582,1658.0,258.0,1916,16482
Napa,94599,2021,104,787,87.0,28.0,115,891
Sonoma,95401,2021,1142,8588,858.0,146.0,1004,9730
Sonoma,95403,2021,1484,9791,1023.0,199.0,1222,11275
Sonoma,95404,2021,1368,10735,1201.0,263.0,1464,12103
Sonoma,95405,2021,658,6211,611.0,87.0,698,6869
Sonoma,95409,2021,1245,8297,1064.0,157.0,1221,9542
Sonoma,95412,2021,17,243,51.0,10.0,61,260
Sonoma,95416,2021,2,11,4.0,0.0,4,13
Sonoma,95419,2021,62,214,38.0,19.0,57,276
Sonoma,95421,2021,98,720,52.0,40.0,92,818
Lake,95422,2021,604,4401,588.0,159.0,747,5005
Lake,95423,2021,283,1795,254.0,66.0,320,2078
Lake,95424,2021,5,124,10.0,1.0,11,129
Sonoma,95425,2021,433,3140,343.0,85.0,428,3573
Lake,95426,2021,82,650,53.0,32.0,85,732
Sonoma,95430,2021,2,61,3.0,0.0,3,63
Sonoma,95433,2021,3,42,3.0,0.0,3,45
Sonoma,95436,2021,285,2146,217.0,100.0,317,2431
Sonoma,95439,2021,14,203,15.0,3.0,18,217
Sonoma,95441,2021,79,434,47.0,19.0,66,513
Sonoma,95442,2021,158,1118,105.0,37.0,142,1276
Sonoma,95444,2021,29,257,25.0,4.0,29,286
Mendocino,95445,2021,142,1019,119.0,43.0,162,1161
Sonoma,95446,2021,408,2475,308.0,179.0,487,2883
Sonoma,95448,2021,647,5020,505.0,112.0,617,5667
Mendocino,95449,2021,61,282,34.0,5.0,39,343
Sonoma,95450,2021,29,255,30.0,12.0,42,284
Lake,95451,2021,534,4046,509.0,151.0,660,4580
Sonoma,95452,2021,73,612,65.0,15.0,80,685
Lake,95457,2021,106,1023,122.0,31.0,153,1129
Lake,95461,2021,99,1004,102.0,24.0,126,1103
Sonoma,95462,2021,126,806,103.0,34.0,137,932
Sonoma,95465,2021,74,571,38.0,26.0,64,645
Lake,95467,2021,384,2164,282.0,95.0,377,2548
Sonoma,95471,2021,29,128,20.0,6.0,26,157
Sonoma,95472,2021,866,9061,699.0,176.0,875,9927
Sonoma,95476,2021,1362,10649,1117.0,232.0,1349,12011
Sonoma,95486,2021,5,51,7.0,1.0,8,56
Sonoma,95492,2021,899,8098,809.0,147.0,956,8997
Sonoma,95497,2021,207,1101,133.0,27.0,160,1308
Yolo,95606,2021,9,30,5.0,3.0,8,39
Yolo,95607,2021,6,62,6.0,2.0,8,68
Yolo,95616,2021,780,8330,674.0,94.0,768,9110
Solano,95620,2021,888,5161,626.0,67.0,693,6049
Solano,95625,2021,2,60,1.0,1.0,2,62
Yolo,95627,2021,115,846,92.0,27.0,119,961
Yolo,95637,2021,21,81,14.0,2.0,16,102
Yolo,95653,2021,9,104,11.0,4.0,15,113
Yolo,95679,2021,3,13,1.0,0.0,1,16
Solano,95687,2021,2412,16512,1949.0,233.0,2182,18924
Solano,95688,2021,1331,10735,1205.0,133.0,1338,12066
Yolo,95694,2021,418,2230,227.0,61.0,288,2648
Yolo,95695,2021,941,8611,822.0,176.0,998,9552
Yolo,95697,2021,8,69,6.0,1.0,7,77
Yolo,95698,2021,13,47,9.0,3.0,12,60
Colusa,95912,2021,146,1015,114.0,34.0,148,1161
Colusa,95932,2021,237,1715,174.0,44.0,218,1952
Yolo,95937,2021,47,251,31.0,6.0,37,298
Colusa,95979,2021,36,228,26.0,8.0,34,264
Colusa,95987,2021,155,1189,106.0,29.0,135,1344
Napa,94503,2020,532,4928,,,497,5460
Napa,94503,2021,557,4874,,,547,5431
Napa,94503,2022,447,4882,,,471,5329
Napa,94508,2020,41,672,,,53,713
Napa,94508,2021,57,633,,,100,690
Napa,94508,2022,62,540,,,135,602
Solano,94510,2020,691,7639,,,679,8330
Solano,94510,2021,795,7509,,,806,8304
Solano,94510,2022,622,7561,,,606,8183
Solano,94512,2020,4,25,,,3,29
Solano,94512,2021,4,25,,,4,29
Solano,94512,2022,0,25,,,3,25
Napa,94515,2020,273,1942,,,221,2215
Napa,94515,2021,245,1946,,,227,2191
Napa,94515,2022,234,1899,,,262,2133
Solano,94533,2020,2140,16203,,,1763,18343
Solano,94533,2021,2390,16219,,,2018,18609
Solano,94533,2022,1938,16629,,,1742,18567
Solano,94534,2020,1385,11652,,,1234,13037
Solano,94534,2021,1691,11528,,,1558,13219
Solano,94534,2022,1342,11661,,,1307,13003
Solano,94535,2020,0,6,,,1,6
Solano,94535,2021,0,4,,,1,4
Solano,94535,2022,0,4,,,1,4
Napa,94558,2020,1731,17802,,,1621,19533
Napa,94558,2021,1934,17621,,,1878,19555
Napa,94558,2022,1745,17391,,,1806,19136
Napa,94559,2020,675,6569,,,583,7244
Napa,94559,2021,760,6496,,,743,7256
Napa,94559,2022,642,6507,,,628,7149
Napa,94562,2020,0,8,,,0,8
Napa,94562,2021,2,8,,,1,10
Napa,94562,2022,0,7,,,3,7
Napa,94567,2020,5,113,,,5,118
Napa,94567,2021,4,108,,,9,112
Napa,94567,2022,17,92,,,29,109
Solano,94571,2020,628,4427,,,537,5055
Solano,94571,2021,952,4597,,,628,5549
Solano,94571,2022,645,4514,,,509,5159
Napa,94573,2020,3,31,,,5,34
Napa,94573,2021,1,34,,,4,35
Napa,94573,2022,2,29,,,4,31
Napa,94574,2020,247,2361,,,234,2608
Napa,94574,2021,279,2321,,,294,2600
Napa,94574,2022,282,2150,,,397,2432
Napa,94576,2020,0,62,,,1,62
Napa,94576,2021,5,42,,,6,47
Napa,94576,2022,6,38,,,8,44
Solano,94585,2020,843,7491,,,758,8334
Solano,94585,2021,1003,7475,,,929,8478
Solano,94585,2022,711,7452,,,786,8163
Solano,94591,2020,1574,14876,,,1492,16450
Solano,94591,2021,1917,14561,,,1828,16478
Solano,94591,2022,1540,14742,,,1576,16282
Napa,94599,2020,111,764,,,93,875
Napa,94599,2021,104,773,,,106,877
Napa,94599,2022,91,771,,,86,862
Sonoma,95401,2020,821,8534,,,749,9355
Sonoma,95401,2021,1138,8571,,,954,9709
Sonoma,95401,2022,830,8489,,,884,9319
Sonoma,95403,2020,1299,9665,,,1016,10964
Sonoma,95403,2021,1475,9777,,,1122,11252
Sonoma,95403,2022,1186,10042,,,947,11228
Sonoma,95404,2020,1230,10697,,,1119,11927
Sonoma,95404,2021,1298,10674,,,1300,11972
Sonoma,95404,2022,1143,10493,,,1243,11636
Sonoma,95405,2020,595,6235,,,573,6830
Sonoma,95405,2021,656,6193,,,629,6849
Sonoma,95405,2022,578,6132,,,595,6710
Sonoma,95409,2020,950,8369,,,845,9319
Sonoma,95409,2021,1228,8281,,,1114,9509
Sonoma,95409,2022,1061,8296,,,1050,9357
Sonoma,95412,2020,9,80,,,9,89
Sonoma,95412,2021,5,76,,,12,81
Sonoma,95412,2022,8,68,,,10,76
Sonoma,95416,2020,7,13,,,2,20
Sonoma,95416,2021,2,12,,,5,14
Sonoma,95416,2022,0,11,,,0,11
Sonoma,95419,2020,33,247,,,30,280
Sonoma,95419,2021,57,232,,,45,289
Sonoma,95419,2022,57,221,,,59,278
Sonoma,95421,2020,50,721,,,56,771
Sonoma,95421,2021,81,698,,,75,779
Sonoma,95421,2022,74,672,,,91,746
Lake,95422,2020,638,4384,,,599,5022
Lake,95422,2021,586,4348,,,612,4934
Lake,95422,2022,467,4310,,,492,4777
Lake,95423,2020,266,1785,,,240,2051
Lake,95423,2021,264,1777,,,260,2041
Lake,95423,2022,202,1739,,,254,1941
Lake,95424,2020,8,121,,,20,129
Lake,95424,2021,5,132,,,13,137
Lake,95424,2022,5,122,,,13,127
Sonoma,95425,2020,336,3146,,,299,3482
Sonoma,95425,2021,422,3113,,,395,3535
Sonoma,95425,2022,384,3048,,,388,3432
Lake,95426,2020,85,703,,,79,788
Lake,95426,2021,60,679,,,84,739
Lake,95426,2022,82,561,,,154,643
Sonoma,95430,2020,4,65,,,3,69
Sonoma,95430,2021,2,63,,,4,65
Sonoma,95430,2022,5,56,,,10,61
Sonoma,95433,2020,4,37,,,2,41
Sonoma,95433,2021,3,42,,,4,45
Sonoma,95433,2022,1,31,,,3,32
Sonoma,95436,2020,220,2155,,,180,2375
Sonoma,95436,2021,267,2123,,,255,2390
Sonoma,95436,2022,239,2031,,,283,2270
Sonoma,95439,2020,16,164,,,7,180
Sonoma,95439,2021,13,171,,,13,184
Sonoma,95439,2022,14,169,,,24,183
Sonoma,95441,2020,48,411,,,35,459
Sonoma,95441,2021,81,420,,,57,501
Sonoma,95441,2022,72,413,,,68,485
Sonoma,95442,2020,127,1096,,,125,1223
Sonoma,95442,2021,153,1090,,,125,1243
Sonoma,95442,2022,248,978,,,247,1226
Sonoma,95444,2020,31,243,,,19,274
Sonoma,95444,2021,28,246,,,24,274
Sonoma,95444,2022,27,247,,,27,274
Mendocino,95445,2020,110,1018,,,114,1128
Mendocino,95445,2021,123,987,,,143,1110
Mendocino,95445,2022,105,946,,,137,1051
Sonoma,95446,2020,314,2536,,,242,2850
Sonoma,95446,2021,381,2430,,,383,2811
Sonoma,95446,2022,314,2218,,,479,2532
Sonoma,95448,2020,472,4912,,,433,5384
Sonoma,95448,2021,617,4900,,,537,5517
Sonoma,95448,2022,655,4761,,,598,5416
Mendocino,95449,2020,45,252,,,33,297
Mendocino,95449,2021,59,266,,,32,325
Mendocino,95449,2022,34,281,,,39,315
Sonoma,95450,2020,29,231,,,27,260
Sonoma,95450,2021,21,235,,,28,256
Sonoma,95450,2022,17,213,,,32,230
Lake,95451,2020,460,3728,,,480,4188
Lake,95451,2021,365,3657,,,474,4022
Lake,95451,2022,326,3569,,,386,3895
Sonoma,95452,2020,60,595,,,54,655
Sonoma,95452,2021,70,606,,,66,676
Sonoma,95452,2022,85,551,,,90,636
Lake,95457,2020,99,1001,,,110,1100
Lake,95457,2021,77,972,,,114,1049
Lake,95457,2022,61,930,,,114,991
Lake,95461,2020,98,977,,,84,1075
Lake,95461,2021,84,979,,,98,1063
Lake,95461,2022,87,854,,,177,941
Sonoma,95462,2020,101,802,,,106,903
Sonoma,95462,2021,117,792,,,115,909
Sonoma,95462,2022,124,702,,,174,826
Sonoma,95465,2020,61,566,,,57,627
Sonoma,95465,2021,72,563,,,54,635
Sonoma,95465,2022,83,530,,,102,613
Lake,95467,2020,305,2181,,,268,2486
Lake,95467,2021,328,2144,,,311,2472
Lake,95467,2022,309,2036,,,367,2345
Sonoma,95471,2020,23,105,,,25,128
Sonoma,95471,2021,25,130,,,25,155
Sonoma,95471,2022,16,137,,,24,153
Sonoma,95472,2020,915,8996,,,770,9911
Sonoma,95472,2021,858,8998,,,787,9856
Sonoma,95472,2022,916,8931,,,828,9847
Sonoma,95476,2020,1223,10636,,,1117,11859
Sonoma,95476,2021,1350,10536,,,1240,11886
Sonoma,95476,2022,1237,10419,,,1248,11656
Sonoma,95486,2020,3,55,,,2,58
Sonoma,95486,2021,5,52,,,7,57
Sonoma,95486,2022,4,47,,,10,51
Sonoma,95492,2020,812,8151,,,723,8963
Sonoma,95492,2021,904,8070,,,875,8974
Sonoma,95492,2022,712,8039,,,767,8751
Sonoma,95497,2020,201,1229,,,173,1430
Sonoma,95497,2021,196,1223,,,165,1419
Sonoma,95497,2022,195,1194,,,188,1389
Yolo,95606,2020,7,30,,,6,37
Yolo,95606,2021,8,30,,,8,38
Yolo,95606,2022,2,34,,,3,36
Yolo,95607,2020,9,60,,,15,69
Yolo,95607,2021,5,63,,,12,68
Yolo,95607,2022,12,56,,,19,68
Yolo,95616,2020,656,8290,,,617,8946
Yolo,95616,2021,788,8310,,,725,9098
Yolo,95616,2022,576,8253,,,576,8829
Solano,95620,2020,728,5019,,,557,5747
Solano,95620,2021,865,5148,,,625,6013
Solano,95620,2022,845,5373,,,548,6218
Solano,95625,2020,10,49,,,12,59
Solano,95625,2021,2,65,,,1,67
Solano,95625,2022,6,64,,,4,70
Yolo,95627,2020,82,870,,,86,952
Yolo,95627,2021,117,842,,,112,959
Yolo,95627,2022,92,838,,,120,930
Yolo,95637,2020,15,70,,,14,85
Yolo,95637,2021,16,79,,,14,95
Yolo,95637,2022,24,76,,,13,100
Yolo,95653,2020,13,108,,,14,121
Yolo,95653,2021,9,109,,,12,118
Yolo,95653,2022,12,103,,,12,115
Yolo,95679,2020,4,15,,,5,19
Yolo,95679,2021,4,13,,,2,17
Yolo,95679,2022,7,17,,,1,24
Solano,95687,2020,2222,16323,,,1728,18545
Solano,95687,2021,2378,16519,,,2023,18897
Solano,95687,2022,1973,16842,,,1793,18815
Solano,95688,2020,1385,10595,,,1200,11980
Solano,95688,2021,1321,10734,,,1215,12055
Solano,95688,2022,1202,10703,,,1168,11905
Yolo,95694,2020,313,2154,,,202,2467
Yolo,95694,2021,416,2230,,,278,2646
Yolo,95694,2022,347,2318,,,289,2665
Yolo,95695,2020,853,8635,,,775,9488
Yolo,95695,2021,944,8569,,,951,9513
Yolo,95695,2022,761,8616,,,735,9377
Yolo,95697,2020,10,69,,,5,79
Yolo,95697,2021,8,72,,,6,80
Yolo,95697,2022,12,69,,,33,81
Yolo,95698,2020,5,47,,,3,52
Yolo,95698,2021,13,47,,,12,60
Yolo,95698,2022,3,52,,,5,55
Colusa,95912,2020,131,916,,,111,1047
Colusa,95912,2021,136,959,,,118,1095
Colusa,95912,2022,89,953,,,108,1042
Colusa,95932,2020,238,1707,,,202,1945
Colusa,95932,2021,234,1711,,,210,1945
Colusa,95932,2022,215,1735,,,185,1950
Yolo,95937,2020,50,296,,,28,346
Yolo,95937,2021,58,295,,,44,353
Yolo,95937,2022,43,322,,,40,365
Colusa,95979,2020,25,224,,,17,249
Colusa,95979,2021,36,215,,,30,251
Colusa,95979,2022,41,219,,,35,260
Colusa,95987,2020,134,1162,,,102,1296
Colusa,95987,2021,159,1182,,,132,1341
Colusa,95987,2022,123,1181,,,117,1304
